rich,富人,1.155547
house,房子,1.0641749
f,l,o,o,r
rooms,房子,1.190313
sewage,污水,0.9498703
paper,紙巾,1.1017638
email,发,1.2129693
bathroom,共用,1.317846
nice,好,1.0784843
house,房子,1.0641749
month,每,1.1292567
house,房子,1.0641749
house,房子,1.0641749
share,共用,1.0720974
post,发布,1.3615422
apartment,公寓,0.9510278
queen,标准,1.3959314
share,共用,1.0720974
house,房子,1.0641749
house,房子,1.0641749
nice,善良,1.2661572
apt,公寓,1.3667322
house,房子,1.0641749
email,邮件,1.1221776
neighborhood,附近,1.1547581
queen,标准,1.3959314
email,发,1.2129693
bedroom,卧室,1.0997171
closet,衣柜,1.1170841
bonus,福利,1.3238024
basement,地下室,1.0489156
lease,租约,1.1040189
nice,好,1.0784843
house,房子,1.0641749
location,位置,1.075418
share,共,1.1676562
g,y,m
house,房子,1.0641749
house,房子,1.0641749
a,是,1.0541441
apartment,公寓,0.9510278
studio,带,1.270323
a,周,1.1425798
half,盥洗,1.2826365
house,房子,1.0641749
apartments,公寓,1.0346236
apartments,租,1.2023255
park,临街,1.4143082
house,房子,1.0641749
bus,巴士,1.0335459
email,发,1.2129693
lease,租约,1.1040189
park,公园,1.113495
duplex,複式,1.275601
management,物业,1.2936909
house,房子,1.0641749
house,房子,1.0641749
house,房子,1.0641749
house,房子,1.0641749
view,视野,1.2445015
queen,标准,1.3959314
queen,标准,1.3959314
living,客厅,1.3569654
f,l,o,o,r
apt,公寓,1.3667322
house,住房,1.173607
house,房子,1.0641749
garage,车库,1.1546022
flexible,灵活,1.1158595
queen,标准,1.3959314
apartment,公寓,0.9510278
apartment,公寓,0.9510278
apt,公寓,1.3667322
available,空缺,1.3147528
w,a,l,k,-,i,n
b,l,o,c,k
apartment,公寓,0.9510278
nice,很好,1.1073993
house,房子,1.0641749
house,房子,1.0641749
bedroom,房间,1.1102142
money,钱,1.0456022
crime,犯罪,0.90766776
house,独,1.2511871
email,邮件,1.1221776
utilities,配套,1.1885196
house,房子,1.0641749
house,独,1.2511871
queen,较,1.322687
powder,化妆,1.2996993
l,e,a,s,e
powder,化妆,1.2996993
furniture,家具,0.9478994
house,房子,1.0641749
apartment,公寓,0.9510278
living,客厅,1.3569654
bathroom,淋浴,1.0220891
email,邮件,1.1221776
email,邮件,1.1221776
email,邮件,1.1221776
f,l,o,o,r
house,房子,1.0641749
house,房子,1.0641749
house,房子,1.0641749
yearly,年,1.3181982
washer,免费,1.3700681
house,房子,1.0641749
washer,洗衣機,1.1725175
no,禁烟,1.3566072
email,邮件,1.1221776
topic,主题,1.2852597
dining,餐厅,1.1175175
cozy,紧凑,1.3483481
house,房子,1.0641749
house,房子,1.0641749
email,邮件,1.1221776
nice,好,1.0784843
playground,操场,1.2321558
everything,精裝,1.3779097
acc,会计,1.3503678
bedroom,卧室,1.0997171
f,l,o,o,r
party,聚会,1.3064159
house,房间,1.1728907
party,派对,1.2807885
utilities,配套,1.1885196
chinese,中餐,1.2984663
balcony,阳台,1.1234452
plus,备注,1.2772675
offer,录取,1.3682067
apartment,公寓,0.9510278
email,邮件,1.1221776
email,邮件,1.1221776
house,房子,1.0641749
basement,地下室,1.0489156
email,邮件,1.1221776
queen,较,1.322687
basement,地下室,1.0489156
house,房子,1.0641749
lease,租约,1.1040189
share,共享,1.0411538
garage,车库,1.1546022
f,l,o,o,r
dining,厨房,1.1635052
easy,好,1.1006476
house,房子,1.0641749
bedroom,卧室,1.0997171
parking,停车,1.2617408
bedroom,房间,1.1102142
lease,租约,1.1040189
centre,中央,1.2530694
party,聚会,1.3064159
share,共享,1.0411538
apartment,公寓,0.9510278
dining,厨房,1.1635052
share,共享,1.0411538
lease,租约,1.1040189
lease,租约,1.1040189
house,房子,1.0641749
living,客厅,1.3569654
apt,公寓,1.3667322
off,折扣,1.3494749
house,房子,1.0641749
house,房子,1.0641749
email,邮件,1.1221776
house,房子,1.0641749
window,窗户,1.1301785
house,房子,1.0641749
house,房子,1.0641749
house,房子,1.0641749
queen,较,1.322687
email,邮件,1.1221776
house,房子,1.0641749
house,房子,1.0641749
set,套间,1.3151572
email,邮件,1.1221776
available,空余,1.2466959
basement,地下室,1.0489156
money,钱,1.0456022
safety,安全,0.98869574
prefer,想要,1.1829053
call,打,1.1635096
o,n,l,y
month,月,1.2447846
table,台灯,1.2534776
bill,账单,1.4028566
lease,租约,1.1040189
share,共,1.1676562
queen,较,1.322687
neighbourhood,鄰里,1.1366451
nice,好,1.0784843
pattern,模式,1.1798205
living,客厅,1.3569654
whole,一,1.2018789
living,客厅,1.3569654
basement,地下室,1.0489156
apartment,公寓,0.9510278
bedroom,卧室,1.0997171
apartment,公寓,0.9510278
keep,保持,1.1960421
month,月,1.2447846
apartment,公寓,0.9510278
queen,较,1.322687
diner,晚饭,1.2419266
king,最,1.2304617
bedroom,房间,1.1102142
deposit,存款,1.0943063
all,你,1.1040146
apartment,公寓,0.9510278
living,客厅,1.3569654
house,房子,1.0641749
bedroom,房间,1.1102142
house,房子,1.0641749
the,价格,1.3714638
utility,使用,1.2050958
house,房子,1.0641749
free,免费,1.1246243
maintenance,修理,1.0919182
easy,还原,1.4314405
property,资产,1.2277701
share,共享,1.0411538
house,房子,1.0641749
lease,租约,1.1040189
bedroom,房间,1.1102142
apartment,公寓,0.9510278
email,邮件,1.1221776
apt,整套,1.3370137
house,房子,1.0641749
couple,情侣,1.2474089
utilities,使用,1.2786189
bedroom,房间,1.1102142
email,邮件,1.1221776
about,关于,1.1735134
apartment,公寓,0.9510278
g,a,s
basement,地下室,1.0489156
email,邮件,1.1221776
air,空调,1.3426669
living,客厅,1.3569654
living,客厅,1.3569654
dining,餐厅,1.1175175
summer,夏季,0.9521213
nice,好,1.0784843
nice,好,1.0784843
house,房子,1.0641749
apt,公寓,1.3667322
o,n
management,管理人,1.2697335
bedroom,卧室,1.0997171
wireless,无,1.2904865
nice,好,1.0784843
lease,租约,1.1040189
bedroom,卧室,1.0997171
bedroom,卧室,1.0997171
shopping,购物,1.1341302
house,房子,1.0641749
share,共享,1.0411538
parking,停车,1.2617408
lease,租约,1.1040189
share,分享,1.0132569
apartment,公寓,0.9510278
living,客厅,1.3569654
sheet,床单,1.1658837
baby,婴儿,1.0714719
email,邮件,1.1221776
screen,屏幕,1.030023
purple,紫色,1.0359375
dealer,卖,1.2213446
nice,好,1.0784843
garden,花园,1.1243352
manager,经理,1.1479505
paper,论文,1.2348981
house,住房,1.173607
clean,无,1.2217134
family,家庭,1.0328625
clean,无,1.2217134
sale,促销,1.2568845
ornaments,装饰,1.1736465
white,白板,1.2629356
list,列表,0.9720443
c,o,n,d,i,t,i,o,n
baby,婴儿,1.0714719
sold,销售,1.230752
fan,風扇,1.2227175
tab,按键,1.2406061
inspection,检查,1.2474875
message,联系,1.2077806
prepaid,提前,1.3523769
plan,套餐,1.3320844
text,只,1.220352
available,空闲,1.2413257
clean,无,1.2217134
integrated,整合,0.98937917
email,邮件,1.1221776
liability,责任,1.1726308
dealer,汽车,1.3434591
miles,英里,0.99579734
feature,几,1.186931
full,标准,1.3139871
owner,車主,1.223216
moving,搬家,1.2005627
queen,较大,1.3990905
area,地区,1.206627
l,i,n,k
second,第二,0.823783
full,标准,1.3139871
clean,无,1.2217134
update,更新,1.0018517
queen,较,1.322687
message,信息,1.1515219
text,讯息,1.2184488
beats,耳机,1.3286842
reading,读书,1.2681669
pick,领取,1.2709982
clean,无,1.2217134
check,支票,1.2106572
内存,视网膜,1.1209191
burner,火炉,1.2197909
soda,蘇打,1.1768537
clean,无,1.2217134
email,邮件,1.1221776
seasoning,季度,1.3694823
apartment,公寓,0.9510278
clean,无,1.2217134
sale,销售,1.1743135
c,o,d,i,n,g
box,盒子,1.0507014
heater,自,1.2818774
update,更新,1.0018517
plan,计划,1.1180042
yard,庭院,1.3041016
clean,无,1.2217134
call,打,1.1635096
c,o,v,e,r
thx,谢谢,1.2603543
queen,较,1.322687
size,大小,0.95170474
post,帖子,1.3071262
moving,持续,1.3470579
thread,帖子,1.2458625
mechanic,修理工,1.1563601
moving,持续,1.3470579
s,a,l,e
moving,持续,1.3470579
update,更新,1.0018517
twin,双,1.1329732
condition,条件,1.1646795
moving,持续,1.3470579
full,标准,1.3139871
full,标准,1.3139871
bug,漏洞,1.1443692
apartment,公寓,0.9510278
native,说,1.2730656
proof,证明,1.0370378
flex,校内,1.360013
parking,停车,1.2617408
gated,门禁,1.3138921
b,u,s
summer,夏季,0.9521213
college,大学,1.111026
permit,停车,1.3948653
family,家庭,1.0328625
confirm,确认,1.1066062
nice,友善,1.1665351
jfk,肯尼迪,1.1258185
jfk,肯尼迪,1.1258185
hello,大家,1.1199523
park,在,1.2460393
fall,秋季,1.0957068
visitor,访客,1.1556575
nice,友善,1.1665351
l,e,a,s,e
master,研究生,1.3913257
paperwork,文书,1.3335928
l,e,a,s,e
m,月,1.3979747
quote,报价,1.4214993
party,派对,1.2807885
rental,租金,1.0451578
fully,全家,1.3647213
summer,暑假,1.1247475
l,e,a,s,e
office,辦公室,0.98853683
graduate,研究生,1.1488408
p,h,d
corner,街角,1.1155142
l,e,a,s,i,n,g
phd,博士,0.99287474
free,免费,1.1246243
w,a,l,k,-,i,n
in,是,1.0364155
summer,暑期,1.096593
tv,已,1.2661465
purchase,购买,1.086478
building,楼,1.1094577
ride,搭車,1.0980263
ride,搭車,1.0980263
master,硕士,1.3179051
p,h,d
queen,一,1.2246823
p,h,d
jfk,肯尼迪,1.1258185
clean,拖车,1.4329548
hello,你,1.067104
office,物业,1.3353932
l,e,a,s,e
house,房子,1.0641749
update,更新,1.0018517
apartment,住房,1.1901517
mid,三月,1.2989455
office,物业,1.3353932
p,a,r,k
email,邮件,1.1221776
sorry,抱歉,0.9918964
bbs,美国,1.4084681
field,牧场,1.359586
fully,全,1.1767703
office,官方,1.2802279
share,共用,1.0720974
deposit,押金,1.1191046
microwave,微波爐,1.1224099
ride,搭車,1.0980263
full,一,1.2004436
nice,好,1.0784843
queen,一,1.2246823
full,一,1.2004436
party,派对,1.2807885
p,o,r,t,a,b,l,e
ride,搭車,1.0980263
shift,轮流,1.3004539
summer,暑期,1.096593
happy,开心,1.212983
nice,好,1.0784843
how,怎么,1.2017367
hesitate,别,1.2540209
ride,搭車,1.0980263
ride,顺风,1.3176271
ride,搭車,1.0980263
office,小区,1.3655671
ride,搭車,1.0980263
security,有,1.255956
check,托运,1.4825984
ride,搭車,1.0980263
p,h,d
party,派对,1.2807885
agent,代理,1.2162166
agent,代理,1.2162166
agent,代理,1.2162166
ps,顺便,1.2799178
limited,限制,1.0792202
agent,代理,1.2162166
agent,代理,1.2162166
agent,代理,1.2162166
defamation,诽谤,1.1353004
review,言行,1.3015627
defamation,诽谤,1.1353004
defamation,诽谤,1.1353004
office,官方,1.2802279
coverage,覆盖,1.4073327
my,我,1.0402582
queen,一,1.2246823
office,小区,1.3655671
updated,更新,0.9881433
share,共用,1.0720974
email,邮箱,1.1342877
t,o,k,e,n
office,物业,1.3353932
last,最后,1.0991819
full,浴缸,1.3567307
visitor,访客,1.1556575
ride,搭車,1.0980263
p,h,d
party,派对,1.2807885
no,不要,1.2676572
immigration,移民,0.93440837
free,免费,1.1246243
free,免费,1.1246243
ride,搭車,1.0980263
utility,账单,1.4092171
model,模式,1.2036235
intermittent,间接,1.3378189
building,大楼,1.1175247
basement,地下室,1.0489156
apartment,小区,1.2501339
share,分摊,1.2433543
young,年轻,1.1139424
parking,停车,1.2617408
honda,宏大,1.3831916
t,h,r,o,t,t,l,e
ride,搭車,1.0980263
ride,搭車,1.0980263
ride,搭車,1.0980263
email,电子,1.3440005
circle,圆形,1.2647284
very,好,1.1213392
office,辦公室,0.98853683
ride,搭車,1.0980263
ride,搭車,1.0980263
nice,友善,1.1665351
party,派对,1.2807885
the,唯一,1.0837282
offer,录取,1.3682067
flexible,时间,1.3932186
full,全日制,1.365907
team,小组,1.4009072
quiz,测验,1.2771884
property,财产,1.1250834
l,e,a,s,e
king,二,1.2190679
living,客厅,1.3569654
professional,有,1.2535375
two,两,0.9497198
l,e,a,s,e
dealer,汽车,1.3434591
ride,搭車,1.0980263
l,e,a,s,e
gre,研究生,1.4168249
medium,媒体,1.3423581
bonus,附加,1.1688744
just,跳舞,1.3056196
p,h,d
deal,处理,1.3329897
bedroom,卧室,1.0997171
theme,主题,1.1315943
show,表演,1.1902292
navigation,航行,1.154033
final,期末,1.2535325
modem,调制,1.3200005
pass,证,1.1777589
furnished,有,1.2519042
size,尺寸,0.94436187
guest,访客,1.2629483
waive,换,1.2847728
nice,友善,1.1665351
full,带,1.2713209
f,l,o,o,r
physics,物理,0.9597088
ride,搭車,1.0980263
l,e,a,s,e
email,发,1.2129693
f,l,o,o,r
graduate,研究生,1.1488408
undergraduate,本科,1.0585135
l,e,a,s,e
l,e,a,s,e
l,e,a,s,e
queen,一,1.2246823
queen,一,1.2246823
ta,教学,1.3877525
utilities,公共,1.1651084
f,l,o,o,r
party,爱,1.3014613
ride,搭車,1.0980263
b,u,s
l,e,a,s,e
phd,博士,0.99287474
mile,英里,1.072212
gift,礼物,1.0994295
ride,搭車,1.0980263
ride,搭車,1.0980263
waiver,弃权,1.3097258
l,e,a,s,e
ride,搭車,1.0980263
cash,只,1.2037034
office,小区,1.3655671
bedroom,卧室,1.0997171
office,官方,1.2802279
hi,好,1.1620495
club,还有,1.3721328
bus,巴士,1.0335459
p,h,d
hi,嗨,1.2136238
nice,好,1.0784843
fall,秋季,1.0957068
full,大,1.1794139
g,r,o,u,p
free,免费,1.1246243
update,更新,1.0018517
b,u,s
ride,搭車,1.0980263
living,客厅,1.3569654
month,月,1.2447846
request,要求,1.0546403
l,e,a,s,e
mock,模拟,1.2749668
profile,文件,1.2957499
party,派对,1.2807885
house,独,1.2511871
queen,一,1.2246823
party,派对,1.2807885
orientation,新生,1.297054
living,客厅,1.3569654
ride,搭車,1.0980263
free,免费,1.1246243
officer,辦公室,1.2854428
ride,搭車,1.0980263
party,派对,1.2807885
ride,搭車,1.0980263
l,e,a,s,e
l,e,a,s,e
g,r,o,u,p
bedroom,卧室,1.0997171
king,超大,1.3248905
shoe,还有,1.3925897
bus,离,1.2688787
house,房子,1.0641749
living,客厅,1.3569654
update,更新,1.0018517
fully,家,1.2590315
building,楼,1.1094577
brother,兄弟,1.0394001
queen,一,1.2246823
share,共用,1.0720974
l,e,a,s,e
nice,友好,1.2309484
picture,图片,1.095108
picture,图片,1.095108
apartment,公寓,0.9510278
l,e,a,s,e
summer,暑期,1.096593
playground,操场,1.2321558
p,h,d
i,n,s,p,e,c,t,i,o,n
cover,给,1.1934301
queen,一,1.2246823
fall,带,1.2157387
half,不,1.166831
project,项目,1.1240302
queen,一,1.2246823
high,高中,1.1575108
email,邮箱,1.1342877
email,邮件,1.1221776
preferred,最好,1.2697684
nice,好,1.0784843
warranty,担保,1.2928594
full,全,1.1511438
l,e,a,s,e
b,a,c,k,y,a,r,d
apartment,公寓,0.9510278
deck,露天,1.2778999
fall,秋季,1.0957068
expended,已,1.2882004
party,派对,1.2807885
car,车,1.0240344
moderate,中等,1.1046622
state,州,1.036318
security,保證金,1.3955959
min,分,1.1266681
ie,工业,1.4208668
thanks,谢谢,1.1496685
ride,搭車,1.0980263
bedroom,卧室,1.0997171
clear,无,1.2175277
nice,好,1.0784843
high,就是,1.2393343
email,邮件,1.1221776
building,楼房,1.2001792
b,u,s
size,尺寸,0.94436187
willing,愿意,1.0995101
inspection,检查,1.2474875
state,州,1.036318
college,学校,1.1462302
high,高中,1.1575108
ride,搭車,1.0980263
bus,号,1.253315
clean,无,1.2217134
family,家庭,1.0328625
l,e,a,s,e
office,辦公室,0.98853683
share,共用,1.0720974
ride,五,1.2434027
b,u,s
pass,卡,1.1866523
apartment,公寓,0.9510278
days,日程,1.2075493
party,派对,1.2807885
buss,包公,1.4436619
ride,搭車,1.0980263
lease,租金,1.1405382
lease,租金,1.1405382
party,派对,1.2807885
baby,婴儿,1.0714719
ride,拼,1.208894
title,頭銜,1.1408893
party,派对,1.2807885
cable,光纤,1.2877892
apartment,公寓,0.9510278
apartment,公寓,0.9510278
p,r,e,f,e,r,r,e,d
size,大小,0.95170474
phd,研究生,1.1925607
pass,卡,1.1866523
pass,卡,1.1866523
email,邮箱,1.1342877
shared,公共,1.245537
share,公共,1.2542555
apt,公寓,1.3667322
individual,独立,1.3042456
a,m,e,r,i,c,a,n
free,免费,1.1246243
r,o,u,t,e,r
clean,干净,1.077489
party,派对,1.2807885
mock,模拟,1.2749668
b,u,s
yellow,黄色,1.0511578
share,公共,1.2542555
w,a,l,k
line,线,1.0483637
garage,车库,1.1546022
garage,车库,1.1546022
garage,车库,1.1546022
lab,實驗室,0.9747651
family,家庭,1.0328625
couple,情侣,1.2474089
lease,租金,1.1405382
permit,許可證,1.0536186
full,全,1.1511438
share,公共,1.2542555
family,家庭,1.0328625
lease,租金,1.1405382
hello,你,1.067104
mean,刻薄,1.2983757
mean,刻薄,1.2983757
lease,租金,1.1405382
lease,租金,1.1405382
can,你,1.1485868
floor,平面圖,1.2593218
email,电子,1.3440005
hello,你,1.067104
car,汽车,1.1144996
email,电子,1.3440005
jfk,肯尼迪,1.1258185
list,列表,0.9720443
couple,情侣,1.2474089
biotechnology,生物,1.1082063
house,房子,1.0641749
share,公共,1.2542555
prefer,比较,1.2465783
utilities,设备,1.2455586
share,公共,1.2542555
full,完整,1.1433507
part,部分,1.0553855
clean,干净,1.077489
hello,你,1.067104
twin,双胞胎,1.2257948
full,完整,1.1433507
meal,饮食,1.1880391
prefer,比较,1.2465783
party,派对,1.2807885
lease,租金,1.1405382
access,进入,1.2383678
fee,钱,1.2373209
master,文科,1.3026987
one,单,1.1225473
share,公共,1.2542555
lease,租金,1.1405382
hello,你,1.067104
gift,礼物,1.0994295
free,免费,1.1246243
tips,建议,1.3750871
low,低级,1.2381151
info,信息,1.221527
house,房子,1.0641749
office,辦事處,1.1316671
square,尺,1.1280279
visa,签证,1.055202
share,公共,1.2542555
reserved,预约,1.2711797
ride,五,1.2434027
civil,土木,1.2749513
share,分担,1.1896257
share,公共,1.2542555
house,房子,1.0641749
phd,研究生,1.1925607
ask,查找,1.2454852
jfk,肯尼迪,1.1258185
party,派对,1.2807885
cover,包含,1.1453985
cover,包含,1.1453985
lease,租金,1.1405382
utility,设施,1.2503614
share,公共,1.2542555
share,公共,1.2542555
person,人,1.128194
deliver,发出,1.2380004
jfk,肯尼迪,1.1258185
studio,工作,1.2379184
shared,共,1.2063063
office,辦事處,1.1316671
final,期末,1.2535325
social,社会,1.0834107
good,优良,1.2363857
jfk,肯尼迪,1.1258185
bar,酒吧,1.1156493
nice,好,1.0784843
furnished,装修,1.3155143
party,派对,1.2807885
sorry,对不起,1.2805848
hello,你,1.067104
available,有,1.1735356
title,頭銜,1.1408893
lease,租金,1.1405382
utility,设施,1.2503614
car,汽车,1.1144996
party,派对,1.2807885
available,有,1.1735356
oil,油箱,1.2528818
campus,校园,1.105556
cable,电缆,1.1802176
update,更新,1.0018517
lease,租金,1.1405382
office,辦事處,1.1316671
office,辦事處,1.1316671
jfk,肯尼迪,1.1258185
furnished,装修,1.3155143
party,派对,1.2807885
b,l,o,c,k
final,期末,1.2535325
final,期末,1.2535325
damage,损坏,1.111019
student,学生,1.0882634
permit,許可證,1.0536186
share,公共,1.2542555
sorry,对不起,1.2805848
august,八月,0.9604758
gym,健身房,1.0613999
gym,健身房,1.0613999
moving,搬家,1.2005627
funding,资金,1.1341144
email,电子,1.3440005
email,邮件,1.1221776
mall,商场,1.1825205
email,电子,1.3440005
guest,客人,1.1171433
lease,租金,1.1405382
state,州,1.036318
ps,另外,1.2111851
prefer,比较,1.2465783
leadership,领导,1.2437884
state,州,1.036318
dealer,零售商,1.2611187
state,州,1.036318
cable,光纤,1.2877892
phd,研究生,1.1925607
club,俱樂部,1.0087042
lease,租金,1.1405382
nice,好,1.0784843
grocery,杂货,1.1955577
all,所有,0.9079489
l,e,a,r,n,e,r,',s
email,电子,1.3440005
email,电子,1.3440005
charge,收费,1.3605639
argue,争论,1.2324452
hello,你,1.067104
activity,活动,1.1137189
lease,租金,1.1405382
sponsor,赞助,1.1315237
l,队员,1.4012741
resume,简历,1.3635021
share,公共,1.2542555
code,代码,1.1872172
deal,一,1.221973
dealer,零售商,1.2611187
studio,工作室,1.0186566
email,电子,1.3440005
house,房子,1.0641749
w,a,l,k
ride,五,1.2434027
share,公共,1.2542555
refer,参照,1.265715
examination,测试,1.2702907
jfk,肯尼迪,1.1258185
bid,出价,1.236074
bid,出价,1.236074
office,辦事處,1.1316671
ride,五,1.2434027
email,邮件,1.1221776
share,公共,1.2542555
utility,设施,1.2503614
ineligible,不,1.2332778
lady,女士,1.1359642
overnight,过夜,1.1560094
mall,大,1.246063
stakeholders,利益,1.2350985
studio,工作室,1.0186566
cover,包含,1.1453985
nice,很好,1.1073993
available,如有,1.2453139
email,邮件,1.1221776
firestone,火石,1.2885807
party,派对,1.2807885
post,帖子,1.3071262
pictures,图片,1.1364875
spring,春天,0.99173725
bbs,论坛,1.304868
trick,技巧,1.1429216
permit,許可證,1.0536186
break,打破,1.0163366
share,公共,1.2542555
visa,签证,1.055202
fully,完全,1.0575873
prefer,比较,1.2465783
break,打破,1.0163366
lease,租金,1.1405382
park,公园,1.113495
share,公共,1.2542555
free,免费,1.1246243
powered,动力,1.2228559
family,家庭,1.0328625
toilet,厕所,1.0365499
tennis,网球,1.0540704
seek,寻找,1.1881428
preferred,偏爱,1.2071822
hello,你,1.067104
nice,好,1.0784843
would,你,1.1528919
dealer,零售商,1.2611187
email,电子,1.3440005
couple,情侣,1.2474089
main,主,1.0737611
ride,五,1.2434027
me,我,0.99345684
excellent,优秀,1.1573266
family,家庭,1.0328625
money,钱,1.0456022
applied,应用,1.259027
small,小,0.9982644
office,办,1.1935353
available,还是,1.335855
nice,好,1.0784843
resident,居民,1.1416589
office,辦事處,1.1316671
gre,美国,1.4153407
nice,好,1.0784843
king,特大,1.3609767
party,派对,1.2807885
mini,迷你,1.0694715
tag,标签,1.2559329
l,a,t,e,r
hotel,旅店,1.0479984
couple,情侣,1.2474089
family,家庭,1.0328625
hello,你,1.067104
standard,标准,1.0171905
hello,你,1.067104
tag,标签,1.2559329
hello,你,1.067104
fee,减免,1.3163
in,在,1.0051572
holder,所有,1.2973222
permit,許可證,1.0536186
passport,帶著,1.2691433
prefer,比较,1.2465783
size,大小,0.95170474
deliver,发出,1.2380004
size,大小,0.95170474
bbs,论坛,1.304868
referral,引荐,1.4021802
phd,研究生,1.1925607
utility,设施,1.2503614
bbs,论坛,1.304868
moving,搬家,1.2005627
mile,英里,1.072212
site,网站,1.1785731
